Property,Rooms,Price_CAD,Neighbourhood,Municipality,city,CrimeRate_per_1000_2025_est,Incidents_2025,Population_2025_est,lat,lon
rooms for rent,,800,,Vancouver,City of Vancouver,,,,,
I’m 45 years i need male or female roommate,,800,,Vancouver,City of Vancouver,,,,,
Furnished room on 33rd floor,1.0,850,,Vancouver,City of Vancouver,,,,,
【FEMALE-ONLY HOUSE】 10-min walk to King Edward Station,,625,South Cambie,Vancouver,City of Vancouver,33.79619997124532,266.0,7870.707364328525,49.241,-123.123
UBC Student house,,1400,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Rm for rent in yaletown apartment,,1450,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"Room for rent, private room and bathroom",1.0,1200,,Vancouver,City of Vancouver,,,,,
"Downtown Yaletown Private Room, Month-to-Month Lease",1.0,1720,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
🌿 Bright Private Room Near UBC & Langara – All Utilities Included!,1.0,1250,Kerrisdale,Vancouver,City of Vancouver,18.63239378861745,294.0,15778.970932849485,49.234,-123.155
Cozy bedroom available,,1000,,Vancouver,City of Vancouver,,,,,
"UBC Centre Apartment, Private Bathroom, Ocean View, January 1st",,1480,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
upper furnished room in a 4 bed 2 bath suite avail Jan 1 - $1400+util,4.0,1400,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
large main floor furnished bedroom avail Dec 30/ Jan 1- $1400+util,,1400,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
One Bedroom for Rent -Looking for Female Roommate Available November 1,1.0,750,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Furnished bright room in shared apartment,1.0,1000,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
UBC one Bedroom for Rent,1.0,1100,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
"Furnished room, shared bathroom, laundry, kitchen. All utilities inclu",1.0,1090,,Vancouver,City of Vancouver,,,,,
1 Bed 1 Bath Apartment,1.0,750,,Vancouver,City of Vancouver,,,,,
1 bedroom for rent in shared house,1.0,850,,Vancouver,City of Vancouver,,,,,
Private room available for female roommate in 4BR Kitsilano house,4.0,825,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
Clean home with friendly housemates,,1295,,Vancouver,City of Vancouver,,,,,
a nice furnished private room in Vancouver (close downtown),1.0,680,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Rooming share / Homestay,,900,,Vancouver,City of Vancouver,,,,,
fully furnished room: downtown coal harbour,1.0,1000,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
fully furnished room: downtown coal harbour,1.0,1000,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Furnished room available,1.0,650,Strathcona,Vancouver,City of Vancouver,144.63402467684975,1829.0,12645.710468795049,49.279,-123.09
Avail. Now !beautiful 2nd flr furn. Rm. Close to downtown,,800,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"Nov , Skytrain Downtown, Female Furn Rm - WorkVisa, Worker, Student",,849,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
NEAR DOWNTOWN MAIN FLOOR BEDROOM GOOD FOR COUPLE STUDENT/WORK VISA,,900,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Single Room,1.0,950,,Vancouver,City of Vancouver,,,,,
Bachelor suit for rent,0.0,1200,,Vancouver,City of Vancouver,,,,,
A private bedroom of a shared student house near Joyce skytrain,,760,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Room for rent in Arbutus Ridge / on edge of Kits,1.0,1185,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
"Private Furnished Room for Rent, 11/1 or 11/15",1.0,1100,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
Room available on Victoria Drive and Kitchener,1.0,1475,Victoria-Fraserview,Vancouver,City of Vancouver,11.581347627200088,416.0,35919.82672404872,49.221,-123.058
Cozy furnished room available,1.0,750,,Vancouver,City of Vancouver,,,,,
FURNISHED ROOM AVAIABLE NOW,1.0,720,,Vancouver,City of Vancouver,,,,,
Dunbar - Convenient to UBC (Looking for male roommate),,1100,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
Epic Views West of Denman,,2000,West End,Vancouver,City of Vancouver,45.751567643018106,2341.0,51167.64562617664,49.2897,-123.134
1Private Room +Bath /Flat-Share:$75p/d-$525p/wk/& Specials from $90p/d,1.0,75,Sunset,Vancouver,City of Vancouver,24.678728045414253,961.0,38940.41857552585,49.219,-123.09
Cozy room near UBC,1.0,950,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Master bedroom in a 3 bed 2.5 bath duplex near Killarney/R4,3.0,1400,Killarney,Vancouver,City of Vancouver,12.065037022924049,379.0,31413.082220956723,49.23,-123.04
"Furnished Room, All Inclusive near Nanaimo Sky Train Station",1.0,1400,,Vancouver,City of Vancouver,,,,,
Furnished Room with Private Bathroom All Inclusive near LangaraCollege,1.0,1500,,Vancouver,City of Vancouver,,,,,
One Single Bed Room 4 min to Joyce Skytrain,1.0,700,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
a nice furnished private small room in Vancouver (close downtown),1.0,630,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Nov. 1st-Beautiful Mstr. Bdrm for Supervisor,,600,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
FURNISHED PRIVATE MASTER ROOM,1.0,1250,,Vancouver,City of Vancouver,,,,,
1 private bedroom with shared bathroom (1st Avenue & Templeton),,1075,Grandview-Woodland,Vancouver,City of Vancouver,38.437729905448826,1239.0,32233.95354116277,49.271,-123.069
Private bedroom,,875,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
FEMALES / SHARE HOME / Main & 25 Please READ BELOW,,1850,,Vancouver,City of Vancouver,,,,,
Furnished bedroom near bus stops and grocery stores,,700,,Vancouver,City of Vancouver,,,,,
Furnished large bedroom - for female only - close to Joyce Skytrain,,800,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
"Private bedroom, in shared accomodations",,1500,,Vancouver,City of Vancouver,,,,,
Shared Accomodations Available,,1000,,Vancouver,City of Vancouver,,,,,
FURNISHED PRIVATE ROOM ON MAIN FLOOR,1.0,850,,Vancouver,City of Vancouver,,,,,
Private room in two bedroom suite,2.0,1000,,Vancouver,City of Vancouver,,,,,
Private room for rent,1.0,1100,,Vancouver,City of Vancouver,,,,,
Avail Now! 2 clean furn lower rooms Close to UBC,,750,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
commercial drive big private room,1.0,800,Grandview-Woodland,Vancouver,City of Vancouver,38.437729905448826,1239.0,32233.95354116277,49.271,-123.069
🌺 🌻 ☀️ 🌼 The room 🛏 house 🏡 location 🌳 roommates 😊 Nov,1.0,735,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
Off campus housing for UBC,,900,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
Private room downtown vancouver,1.0,1250,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Furnished Rooms with Private Baths Near UBC | Utilities Included,,975,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
✅Furnished Room Near 29th Ave Station – Utilities Included,1.0,775,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
A roommate needed for a 1-bedroom West End apartment,,990,West End,Vancouver,City of Vancouver,45.751567643018106,2341.0,51167.64562617664,49.2897,-123.134
Recently renovated furnished home: everything included in price,,745,Kensington-Cedar Cottage,Vancouver,City of Vancouver,23.42245394600096,1251.0,53410.28753366766,49.249,-123.071
Furnished Rooms for rent near UBC and downtown - move in today!,,800,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Male Room mate,1.0,860,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"FURNISHED BEDROOM AVAILABLE DEC @ DUNBAR, VANCOUVER WEST",,840,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
Newly renovated house with shared bedrooms for rent (Nanaimo Station),,1100,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
1 private furnished br in a 2 br above ground floor suite,2.0,1250,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
1 furnished br in 2br above ground floor suite,2.0,1250,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
"FURNISHED ROOM, 5MIN WALK TO SKYTRAIN, VANCOUVER, UPSTAIRS",1.0,850,,Vancouver,City of Vancouver,,,,,
PRIVATE ROOM AVAILABLE,1.0,730,,Vancouver,City of Vancouver,,,,,
Effortless Downtown Living – ALL INCLUDED MOVE IN,,2000,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Bright Room for Rent – Female Tenant Preferred – Cambridge Street,1.0,1150,,Vancouver,City of Vancouver,,,,,
Furnished bedroom in Vancouver near Renfrew Station,,850,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Move today !!! Private den room available in center downtown,1.0,600,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Move today !!! Private and shared private bedroom in downtown,,650,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
room BR in near Langara Skytrain in First floor room $950,1.0,950,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
Available Now ! 8 min walk to Commercial station ! Cozy private room !,1.0,900,,Vancouver,City of Vancouver,,,,,
Available now ! 8 min walk to Commercial station ! Cozy private room !,1.0,780,,Vancouver,City of Vancouver,,,,,
Available from Nov 1! CozyLiving room near Commercial broadway station,1.0,850,Grandview-Woodland,Vancouver,City of Vancouver,38.437729905448826,1239.0,32233.95354116277,49.271,-123.069
Rooms Ocean View 10 minute UBC 20 minute Emily Carr Downtown January 1,,800,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Beautiful ROOM For Rent In Coal Harbour Great View,1.0,1370,West End,Vancouver,City of Vancouver,45.751567643018106,2341.0,51167.64562617664,49.2897,-123.134
November 1st Spacious Private Bedroom,,1130,Fairview,Vancouver,City of Vancouver,34.62465584272648,1253.0,36188.08532542324,49.2636,-123.1242
Bed room in a 2 bed apartment,2.0,1500,West End,Vancouver,City of Vancouver,45.751567643018106,2341.0,51167.64562617664,49.2897,-123.134
East Vancouver - 10' x 10 Furnished bedroom for rent,,720,,Vancouver,City of Vancouver,,,,,
Biggest Private Room in a 3 bedroom house for girls only,3.0,965,,Vancouver,City of Vancouver,,,,,
FURNISHED ROOM and PRIVATE BATHROOM Yaletown Downtown,1.0,1465,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Small Furnished Private Room on Robson Street,1.0,900,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Fully furnished Room for rent in Yaletown. Rarely available.,1.0,1500,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"Furnished Room, All-Inclusive in Shared Floor, Safe Quiet Neighborhood",1.0,950,Sunset,Vancouver,City of Vancouver,24.678728045414253,961.0,38940.41857552585,49.219,-123.09
"☆ Move in Today! Downtown Core! Perfect for Couple, One Person, or Two",,50,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Richmond 1 bedroom 1 bathrooms,1.0,1700,,Vancouver,City of Vancouver,,,,,
Well Furnished Second Bedroom for Rent in Dolce!,,1980,,Vancouver,City of Vancouver,,,,,
2bedrooms for rent,2.0,2600,,Vancouver,City of Vancouver,,,,,
Upstairs private room for rent near Langara College area,1.0,760,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
✨ Master Bedroom for Rent – Furnished ✨,,1300,,Vancouver,City of Vancouver,,,,,
Private Room for Rent,1.0,1100,,Vancouver,City of Vancouver,,,,,
One private bedroom in a shared house,,750,,Vancouver,City of Vancouver,,,,,
Private bedroom with your own washroom on Fraser and 56th Ave,,860,Victoria-Fraserview,Vancouver,City of Vancouver,11.581347627200088,416.0,35919.82672404872,49.221,-123.058
a nice furnished small room in Vancouver (close downtown,1.0,630,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Furnished one bedroom-November 1st Fraserview area,1.0,1075,Victoria-Fraserview,Vancouver,City of Vancouver,11.581347627200088,416.0,35919.82672404872,49.221,-123.058
Second bedroom in luxury apartment yealtown downtown Vancouver,,1550,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Master bedroom ensuite washroom in luxury apartment yealtown downtown,,1750,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
private furnished bedroom in downtown Vancouver for rent,,1050,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Shared basement new duplex killarney area 2bed 1bath,2.0,1000,Killarney,Vancouver,City of Vancouver,12.065037022924049,379.0,31413.082220956723,49.23,-123.04
UBC /Dunbar 1 bedroom +2 Dens+ 1 bathroom for rent,1.0,1575,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
Upstairs 1 furnished private room for female ( All inclusive),1.0,900,,Vancouver,City of Vancouver,,,,,
Fully furnished room available and ready to move in,1.0,550,,Vancouver,City of Vancouver,,,,,
FURNISHED BEDROOM EN-SUITE BATH @ UBC VANCOUVER WEST,,1070,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Room for rent kitsilano nov 1 $1075.00,1.0,1075,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
Spacious Upstairs Room 5 minute walk Joyce Station - November 15,1.0,830,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Bright 1 Bedroom on Upper Floor of a House – All Included,1.0,1100,,Vancouver,City of Vancouver,,,,,
Vancouver west basement room for rent,1.0,950,,Vancouver,City of Vancouver,,,,,
Kitsilano shared room for rent,1.0,1100,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
Roomie wanted for shared STUDIO bachelor space in GREAT area in Van!,0.0,650,,Vancouver,City of Vancouver,,,,,
$890-One furnished Bedrooms close to Langara college and Canada line,,890,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
South Vancouver MarineDr skytrain station T&T supermaket,,1350,,Vancouver,City of Vancouver,,,,,
a nice furnished small room in Vancouver (close downtown,1.0,630,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Avail Nov 01st Furn. Room near Dunbar/41st and UBC,1.0,875,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
Furnished Room Great Location,1.0,1000,Grandview-Woodland,Vancouver,City of Vancouver,38.437729905448826,1239.0,32233.95354116277,49.271,-123.069
1 bedroom,1.0,550,,Vancouver,City of Vancouver,,,,,
1 bedroom,1.0,800,,Vancouver,City of Vancouver,,,,,
Modern Downtown Room 5 Mins To Skytrain | AVAILABLE NOW!,1.0,1600,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"Room rent at 1001 Homer St, Vancouver. Downtown.",1.0,1500,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Master Bedroom for Rent in Yaletown (950 Cambie St.),,1630,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
UBC one Bedroom for Rent 1100/mo,1.0,1000,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Beautiful Spacious room with own living room and kitchen,1.0,1500,,Vancouver,City of Vancouver,,,,,
Room available 2 minutes walking from Nanaimo Station,1.0,800,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
"Luxury Vancouver Room Rental - UBC, Langara & Downtown Convenience",1.0,1400,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"Private Bathroom (Ensuite), close to YVR and Southeast Marine",,1250,,Vancouver,City of Vancouver,,,,,
New Renovated Apartment for the rent from 11/01/2025 (Vancouver),,1300,,Vancouver,City of Vancouver,,,,,
"Downtown - Near Waterfront, Gastown, Chinatown Skytrain",,900,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Private bedroom w/ private bath in Kitsilano/West Point Grey,,1700,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
UBC Campus Rental (Private Room w/ Parking & Utilities) from Nov 2025- Apr 2026,1.0,2100,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
2 bedroom suite rental- perfect for halloween weeke d,2.0,250,,Vancouver,City of Vancouver,,,,,
Room near Joyce Skytrain,1.0,850,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
1 newly built bedroom available (near Joyce & Patterson station),,950,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
Room for Rent in Kerrisdale – Ideal for UBC & Langara Students,1.0,920,Kerrisdale,Vancouver,City of Vancouver,18.63239378861745,294.0,15778.970932849485,49.234,-123.155
Nov 1st! Female Artist House Share Near Kits!,,1450,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
"room for rent - it's just a room, NOT a suite or unit",1.0,1099,Marpole,Vancouver,City of Vancouver,22.079676346268325,659.0,29846.451988929504,49.213,-123.127
\- Central Kits - Furnished room in suite (Vancouver）,1.0,1100,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
Single room,1.0,700,,Vancouver,City of Vancouver,,,,,
"November - December sublet: cute, furnished pet-friendly",,1100,Fairview,Vancouver,City of Vancouver,34.62465584272648,1253.0,36188.08532542324,49.2636,-123.1242
Private Studio Suite for Rent | Near UBC & Lord Byng Secondary,0.0,1500,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Private room looling for UBC student,1.0,980,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Private Bedroom (Shared Kitchen/Bath) near Langara,,1000,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
Rommate Wanted:),,1300,Kerrisdale,Vancouver,City of Vancouver,18.63239378861745,294.0,15778.970932849485,49.234,-123.155
Furnished Rooms for rent near UBC and downtown - move in today!,,800,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
UBC 1 bedroom for rant 1000/month hydro gas & internet included,1.0,1000,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Private furn. bdrm & private bathroom in a 2 bed 2 bathr condo NOV 1,2.0,1500,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Fully furnished Room available for rent,1.0,850,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
$1000 - $1600 Strathcona House Share,,1000,Strathcona,Vancouver,City of Vancouver,144.63402467684975,1829.0,12645.710468795049,49.279,-123.09
Small Furnished Private Room on Robson Street,1.0,900,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
a nice furnished private small room in Vancouver (close downtown),1.0,630,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Lovely house and room,1.0,795,Kensington-Cedar Cottage,Vancouver,City of Vancouver,23.42245394600096,1251.0,53410.28753366766,49.249,-123.071
Freshly renovated furnished home: everything included in price,,795,Kensington-Cedar Cottage,Vancouver,City of Vancouver,23.42245394600096,1251.0,53410.28753366766,49.249,-123.071
FURNISHED Primary BEDROOM COAL HARBOUR DOWNTOWN Great View Location,,1375,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"1 bedroom in 2 bedroom apartment, fully furnished, shared flat Joyce",1.0,1050,Renfrew-Collingwood,Vancouver,City of Vancouver,35.31648335375275,1873.0,53034.72549174333,49.245,-123.043
"3 basement bedrooms for share, utilities included",,1200,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
Large furnished room in a female shared suite near Canada Line,1.0,880,Oakridge,Vancouver,City of Vancouver,16.604947116994087,258.0,15537.53819161241,49.229,-123.116
SHARE A LARGE ONE BEDROOM,1.0,500,Marpole,Vancouver,City of Vancouver,22.079676346268325,659.0,29846.451988929504,49.213,-123.127
"Safe & Quiet Furnished Room, All-Inclusive in Shared Floor",1.0,950,Sunset,Vancouver,City of Vancouver,24.678728045414253,961.0,38940.41857552585,49.219,-123.09
Cute quiet room in Chinatown,1.0,1200,Strathcona,Vancouver,City of Vancouver,144.63402467684975,1829.0,12645.710468795049,49.279,-123.09
FURNISHED PRIVATE ROOM-ON MAIN FLOOR,1.0,850,,Vancouver,City of Vancouver,,,,,
Downtown - room available November 1st,1.0,1000,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
Luxury Apartment Master Bedroom for Rent at UBC campus,,1900,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Private Room for rent $900/month Near UBC,1.0,900,West Point Grey,Vancouver,City of Vancouver,14.243414916364252,198.0,13901.160723227818,49.266,-123.206
Fully furnished private room with shared washroom and kitchen,1.0,980,,Vancouver,City of Vancouver,,,,,
2 bdr loft pet friendly townhouse,2.0,3550,,Vancouver,City of Vancouver,,,,,
Rooms for Rent in Downtown! Great for International Students / Workers,,1180,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
ONE BEDROOM FULLY FURNISHED IN RENOVATED HOME,1.0,850,,Vancouver,City of Vancouver,,,,,
"Furnished Bedroom Downtown for Month-to-Month Rent, Howe & Davie",,1600,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
"🏡 2 m, 2 f 🌳 & 1 for Quiet 2nd FLR RM. Near 🚎, grocer Nov 1 or . .",,735,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
One Bedroom with Private Bathroom,1.0,1000,,Vancouver,City of Vancouver,,,,,
"Spacious Private Bedroom in Large Dunbar House (4,600 s.f.)",,925,Dunbar-Southlands,Vancouver,City of Vancouver,10.352464282884444,241.0,23279.481427281164,49.238,-123.193
New Renovated Apartment for the rent from 01/11/2025,,900,,Vancouver,City of Vancouver,,,,,
Upstair 1 bedroom - UBC/Langara/Metrotown/Downtown,1.0,850,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
a furnished nice private small room in Vancouver (close downtown),1.0,630,Downtown,Vancouver,City of Vancouver,128.0642801233793,8524.0,66560.32417304681,49.2827,-123.1207
✨master room for rent in gastown!✨,1.0,1600,Strathcona,Vancouver,City of Vancouver,144.63402467684975,1829.0,12645.710468795049,49.279,-123.09
RAD ROOM BY THE BEACH IN WEST END,1.0,900,West End,Vancouver,City of Vancouver,45.751567643018106,2341.0,51167.64562617664,49.2897,-123.134
\*\*Cheerful Kits Bedroom\*\*\*,,1050,Kitsilano,Vancouver,City of Vancouver,21.14411837083925,941.0,44504.10196803348,49.268,-123.157
